 Country, Population 
San Marino,33785
Italy,60431283
Spain,46723749
Cayman Islands,64174
Luxembourg,607728
Netherlands,17231017
France,66987244
Switzerland,8516543
Belgium,11422068
Guam,165768
The United Kingdom,66488991
Iceland,353574
China,1392730000
Denmark,5797446
Sweden,10183175
Austria,8847037
Mauritius,1265303
United States of America,327167434
Greece,10727668
Portugal,10281762
Norway,5314336
Guyana,779004
Bahrain,1569439
Germany,82927922
Ireland,4853506
Ecuador,17084357
Panama,4176873
Hungary,9768785
Albania,2866376
Lebanon,6848925
Kosovo,1845300
Iraq,38433600
Canada,37058856
Slovenia,2067372
Gabon,2119275
Bulgaria,7024216
Costa Rica,4999441
Turkey,82319724
Lithuania,2789533
Algeria,42228429
Singapore,5638676
Japan,126529100
Malaysia,31528585
Bosnia and Herzegovina,3323929
Dominican Republic,10627165
Moldova,3545883
Australia,24992369
Tunisia,11565204
Croatia,4089400
Philippines,106651922
United Arab Emirates,9630959
Poland,37978548
Finland,5518050
Indonesia,267663435
Peru,31989256
Burkina Faso,19751535
Paraguay,6956071
Serbia,6982084
Brazil,209469333
Israel,8883800
Morocco,36029138
Romania,19473936
Azerbaijan,9942334
Czech Republic,10625695
Argentina,44494502
Cuba,11338138
Ukraine,44622516
Guatemala,17247807
Chile,18729160
Colombia,49648685
Ghana,29767108
Sudan,41801533
Pakistan,212215030
Bangladesh,161356039
Mexico,126190788
Thailand,69428524
India,1352617328
Nigeria,195874740
Ethiopia,109224559
Viet Nam,95540395
South Africa,57779622
Tanzania,56318348
Kenya,51393010
Uganda,42723139
Afghanistan,37172386
Saudi Arabia,33699947
Uzbekistan,32955400
Angola,30809762
Mozambique,29495962
Nepal,28087871
Madagascar,26262368
Cameroon,25216237
Cote d'Ivoire,25069229
Niger,22442948
Sri Lanka,21670000
Kazakhstan,18276499
Zambia,17351822
Cambodia,16249798
Senegal,15854360
Chad,15477751
Somalia,15008154
Zimbabwe,14439018
Guinea,12414318
Rwanda,12301939
Benin,11485048
Bolivia (Plurinational State of),11353142
Haiti,11123176
Jordan,9956011
Honduras,9587522
Belarus,9485386
Papua New Guinea,8606316
Togo,7889094
Nicaragua,6465513
El Salvador,6420744
New Zealand,4885500
Oman,4829483
Liberia,4818977
Central African Republic,4666377
Mauritania,4403319
Kuwait,4137309
Georgia,3731000
Uruguay,3449299
Mongolia,3170208
Armenia,2951776
Jamaica,2934855
Qatar,2781677
Namibia,2448255
Latvia,1926542
Trinidad and Tobago,1389858
Estonia,1320884
Equatorial Guinea,1308974
Cyprus,1189265
Djibouti,958920
Fiji,883483
Bhutan,754394
Montenegro,622345
Suriname,575991
Maldives,515696
Malta,483530
Barbados,286641
New Caledonia,284060
French Polynesia,277679
Grenada,111454
Seychelles,96762
Antigua and Barbuda,96286
Isle of Man,84077
Andorra,77006
Dominica,71625
Bermuda,63968
Greenland,56025
Monaco,38682
Liechtenstein,37910
Gibraltar,33718
Russian Federation,144478050
Central Europe and the Baltics,102511922
"Egypt",98423595
"Congo, Dem. Rep.",84068091
"Iran (Islamic Republic of)",81800269
Myanmar,53708395
"Republic of Korea",51635256
Small states,40575321
Other small states,30758989
"Venezuela (Bolivarian Republic of)",28870195
"Yemen, Rep.",28498687
Mali,19077690
Malawi,18143315
Syrian Arab Republic,16906283
Burundi,11175378
South Sudan,10975920
Tajikistan,9100837
Sierra Leone,7650154
"Hong Kong SAR, China",7451000
Caribbean small states,7358965
Lao PDR,7061507
Libya,6678567
Kyrgyz Republic,6315800
Turkmenistan,5850908
Slovak Republic,5447011
"Congo, Rep.",5244363
West Bank and Gaza,4569087
Puerto Rico,3195153
Pacific island small states,2457367
"Gambia, The",2280102
Botswana,2254126
Lesotho,2108132
North Macedonia,2082958
Guinea-Bissau,1874309
Timor-Leste,1267972
Eswatini,1136191
Comoros,832322
Solomon Islands,652858
"Macao SAR, China",631636
Cabo Verde,543767
Brunei Darussalam,428962
"Bahamas, The",385640
Belize,383071
Vanuatu,292680
Sao Tome and Principe,211028
Samoa,196130
St. Lucia,181889
Channel Islands,170499
Curacao,159849
Kiribati,115847
"Micronesia, Fed. Sts.",112640
St. Vincent and the Grenadines,110210
Virgin Islands (U.S.),106977
Aruba,105845
Tonga,103197
Marshall Islands,58413
Northern Mariana Islands,56882
American Samoa,55465
St. Kitts and Nevis,52441
Faroe Islands,48497
Sint Maarten (Dutch part),40654
Turks and Caicos Islands,37665
St. Martin (French part),37264
British Virgin Islands,29802
Palau,17907
Nauru,12704
Tuvalu,11508
Eritrea,
"Korea, Dem. Peopleâ€™s Rep.",25549819